alpha,beta,delta,gamma,type,name,hurst,obs,date_min,date_max,stdev,avg,kurtosis,skewness,min,max,q_1,q_2_5,q_5,q_10,q_25,q_50,q_75,q_90,q_95,q_97_5,q_99,cv,range,std_range,var_01,var_025,var_05,var_10,es_01,es_025,es_05,es_10,rho,Factor1,Factor2,Factor3
1.567122572,-0.01776944,0.003338082,1.196616568,Commodity,CAFENATL_INDEX,0.400348599,1039,10/23/2014,10/16/2018,0.303935815,7.69E-05,515.8865193,-0.060134643,-6.919803617,6.907755279,-0.049719964,-0.036179657,-0.026787316,-0.018576386,-0.006626929,0,0.007220248,0.018996957,0.027477197,0.038246759,0.050010421,3953.558107,13.8275589,45.49499675,0.049719964,0.036179657,0.026787316,0.018576386,0.679653559,0.312116355,0.172028204,0.096377829,-0.003864174,2.580080589,15.54954329,-5.124246857
1.871936462,-0.000913081,-0.145655834,1.072797487,Commodity,CKEL_COMDTY,0.542493705,1039,10/23/2014,10/16/2018,0.018116556,-0.000012368,1.845898075,0.034191216,-0.08299365,0.081760414,-0.044778758,-0.038120439,-0.028985044,-0.021435849,-0.010160913,0,0.010437471,0.02173873,0.029482698,0.034302797,0.046802669,-1464.78092,0.164754064,9.094116377,0.044778758,0.038120439,0.028985044,0.021435849,0.056801423,0.047329826,0.040336419,0.032769912,-0.032481857,0.249028983,-0.698109468,-0.661166051
1.747141018,-0.184806761,0.152273643,1.102262658,Commodity,COTNMAVG_INDEX,0.495989404,1039,10/23/2014,10/16/2018,0.011930943,0.000154174,1.991305462,0.298678647,-0.044843861,0.047591483,-0.030919383,-0.024897552,-0.018503725,-0.013253029,-0.006338161,-0.000112886,0.005742253,0.01347935,0.020838984,0.030382383,0.037500789,77.38621935,0.092435343,7.747530381,0.030919383,0.024897552,0.018503725,0.013253029,0.037038087,0.031092958,0.026235374,0.020689922,0.016793512,-0.44117858,-0.396178941,0.224210452
1.839506221,0.126201051,-0.276121553,1.01981233,Commodity,CRNUSPOT_INDEX,0.45900435,1039,10/23/2014,10/16/2018,0.014388018,5.03E-05,2.655263417,-0.119814413,-0.067382997,0.079406778,-0.039016652,-0.030685811,-0.02396919,-0.015949301,-0.008163311,0,0.008462674,0.016667053,0.022250609,0.029453267,0.03646968,286.1671955,0.146789775,10.20222338,0.039016652,0.030685811,0.02396919,0.015949301,0.049471594,0.041081136,0.03387986,0.026782828,-0.033362058,-0.01239885,-0.480962927,-1.03838866
1.762614527,0.058938341,-0.19640028,1.098687054,Commodity,DIEINULP_INDEX,0.584307509,1039,10/23/2014,10/16/2018,0.021203855,-0.000056687,2.598920861,0.04278488,-0.10570614,0.096194778,-0.058716625,-0.044332051,-0.035546661,-0.024809361,-0.010817181,0,0.010783097,0.023010893,0.034084722,0.046593034,0.060065026,-374.0507192,0.201900917,9.521896612,0.058716625,0.044332051,0.035546661,0.024809361,0.072064133,0.058641332,0.048612779,0.038963665,-0.052131753,0.496137941,-0.45388995,-0.403196834
1.837082136,-0.066995655,0.001244196,1.084531977,Commodity,EUCRBRDT_INDEX,0.60375579,1039,10/23/2014,10/16/2018,0.022318135,-0.000024665,1.88707865,0.145583969,-0.084225632,0.098430307,-0.06184866,-0.044789469,-0.036283931,-0.026615341,-0.012430241,0,0.01209489,0.025867971,0.038446293,0.047748769,0.057976339,-904.8505066,0.182655939,8.184193841,0.06184866,0.044789469,0.036283932,0.026615341,0.071745428,0.058776722,0.049064945,0.039697609,-0.027307696,0.565058242,-0.710730736,-0.1667942
1.737978234,-0.459122663,0.799182536,1.095415131,Commodity,HOGSNATL_INDEX,0.542853021,1039,10/23/2014,10/16/2018,0.01688884,-0.000422292,16.73049844,0.17593983,-0.165033655,0.144960826,-0.031194705,-0.026331168,-0.021589639,-0.017319548,-0.009142306,-0.001594388,0.006811574,0.018556108,0.026848817,0.036194858,0.047288788,-39.99327766,0.309994482,18.35498936,0.031194705,0.026331168,0.021589639,0.017319548,0.057904616,0.040541633,0.032149688,0.025673322,0.364286585,-1.114136117,0.111057611,5.587475136
1.892429611,-0.129422344,0.48581988,1.003176006,Commodity,LMAHDY_COMDTY,0.545842318,1039,10/23/2014,10/16/2018,0.011891567,8.11E-06,3.44675833,0.267454257,-0.07826624,0.063950914,-0.025519012,-0.021704596,-0.01821544,-0.01408915,-0.007334,0,0.007116664,0.013472537,0.019203464,0.024989353,0.032389595,1465.552415,0.142217154,11.95949682,0.025519012,0.021704596,0.01821544,0.01408915,0.034236711,0.028102277,0.023779523,0.019884608,-0.012366297,-0.371295315,-0.73500314,-0.339202501
1.855752117,-0.157692276,0.445708831,1.119598297,Commodity,LMCADY_COMDTY,0.555424935,1039,10/23/2014,10/16/2018,0.012543872,-0.000072429,1.31523773,0.101569252,-0.055471243,0.048907735,-0.030498131,-0.025774507,-0.020399918,-0.015115383,-0.00704164,0,0.006630093,0.015226964,0.022150514,0.027182841,0.033582492,-173.1897214,0.104378978,8.321113052,0.030498131,0.025774507,0.020399918,0.015115383,0.038114956,0.032106849,0.027361357,0.022365861,-0.062236533,-0.189020455,-0.665708539,-0.882881263
1.74398449,0.159687326,-0.199414379,1.080574562,Commodity,MCXTINI_COMDTY,0.522016846,1039,10/23/2014,10/16/2018,0.021328023,0.000159873,234.0310412,1.588830261,-0.380097894,0.414798424,-0.035537953,-0.026964803,-0.020181526,-0.013913268,-0.005692124,0,0.006688988,0.012955647,0.019110601,0.0260928,0.033479932,133.4062866,0.794896318,37.27004301,0.035537953,0.026964803,0.020181526,0.013913268,0.076038733,0.050069709,0.036459016,0.026518458,-0.326479289,0.607999979,3.037417498,-5.979318703
